age,annual_income,emp_length,loan_amount,loan_term,revol_util,revol_bal,credit_inquiries_last_6m,open_credit_lines,credit_utilization,delinquency_2yrs,total_current_balance,loan_status,recovered_amount,total_rec_prncp,funded_amnt,months_since_earliest_credit,installment_to_income,credit_limit,credit_utilization_derived,age_binned,loan_amount_binned,revol_util_binned,open_credit_lines_binned,months_since_earliest_credit_binned,credit_utilization_derived_binned,age_woe,loan_amount_woe,revol_util_woe,open_credit_lines_woe,months_since_earliest_credit_woe,credit_utilization_derived_woe,default_flag,LGD,EAD,probability_of_default,credit_score
60,84868,4,19751,60,0.1440037452748409,5029,2,13,0.2665165128343538,0,89298,fully_paid,0.0,19751.0,19751,132,0.23272611585049724,34922.70281166516,0.1440037452748409,"(56.0, 60.0]","(18862.6, 20926.2]","(-0.001, 0.147]","(12.0, 13.0]","(120.0, 140.0]","(0.0012100000000000001, 0.171]",0.05795295689272797,0.22239607401517378,0.06209022246805747,-0.2999333742323016,0.28999844701620564,0.020636596775795362,0,1.0,0.0,0.33544491204027915,502.14917157274647
50,91335,3,15359,36,0.3557615570761536,18584,4,7,0.2111989286499966,0,81090,fully_paid,0.0,15359.0,15359,53,0.1681611649422456,52237.2348286691,0.3557615570761536,"(47.0, 52.0]","(14821.5, 16604.0]","(0.299, 0.363]","(6.0, 7.0]","(35.999, 57.0]","(0.312, 0.375]",0.33137955571970856,0.014467844952989266,0.08557099131332485,-0.09513896158628819,-0.05486506244834814,0.15453155966427556,0,1.0,0.0,0.41836208514908496,509.2323556735972
36,88973,7,26188,60,0.2093151398354994,2783,1,5,0.5538340922284496,0,11296,fully_paid,0.0,26188.0,26188,90,0.29433648410191854,13295.741541615946,0.2093151398354994,"(35.0, 39.0]","(24186.1, 37934.0]","(0.147, 0.236]","(4.0, 6.0]","(77.0, 100.0]","(0.171, 0.251]",0.10553173387586309,-0.13445038180117647,-0.13445038180117647,0.06769290798601699,-0.010397733131197675,-0.16027918017575785,0,1.0,0.0,0.32618293810226995,501.31236679278015
64,77029,2,9013,60,0.4903812395266674,15138,4,2,0.7927801495244802,1,16009,fully_paid,0.0,9013.0,9013,187,0.11700788014903478,30869.85957010042,0.4903812395266674,"(60.0, 64.0]","(8598.2, 10961.8]","(0.461, 0.516]","(1.999, 3.0]","(181.0, 202.0]","(0.471, 0.516]",0.21089224953368915,-0.32262091449909625,0.10884409198884579,0.10985139502037945,-0.28144194367942776,0.20345076441715004,0,1.0,0.0,0.23554984668802062,492.2776868222784
29,72605,0,34711,60,0.3622136856663611,625,3,6,0.4728717336369682,0,70976,fully_paid,0.0,34711.0,34711,238,0.4780800220370498,1725.5007878849012,0.3622136856663611,"(26.0, 30.0]","(24186.1, 37934.0]","(0.299, 0.363]","(4.0, 6.0]","(220.0, 243.0]","(0.312, 0.375]",-0.16200190681541482,-0.13445038180117647,0.08557099131332485,0.06769290798601699,-0.07678982291809178,0.15453155966427556,0,1.0,0.0,0.254939801792513,494.37362072407626
42,68435,6,1000,36,0.4566956951153017,28279,5,9,0.5873770649270842,0,67327,charged_off,388.35838030444216,286.1983944334849,1000,190,0.014612405932636808,61920.88145884628,0.4566956951153017,"(39.0, 44.0]","(999.999, 5348.8]","(0.411, 0.461]","(8.0, 9.0]","(181.0, 202.0]","(0.419, 0.471]",-0.2884295497508168,0.014467844952989266,-0.43923512331816045,-0.1947396781594812,-0.28144194367942776,-0.3061262071632222,1,0.6116416196955579,713.801605566515,0.1279731209550817,477.4423721939549
60,51150,4,12693,36,0.5548359037086454,11887,4,7,0.6077689125635349,2,76574,charged_off,263.5703301996559,3780.909611087231,12693,161,0.2481524926686217,21424.3525347669,0.5548359037086454,"(56.0, 60.0]","(10961.8, 12907.0]","(0.516, 0.57]","(6.0, 7.0]","(160.4, 181.0]","(0.516, 0.571]",0.05795295689272797,0.20003378259465038,0.13191848904905776,-0.09513896158628819,-0.047407558765098286,0.10475665883230417,1,0.9792349854093078,8912.09038891277,0.35409264755308384,503.8004225461191
40,62983,6,3110,36,0.3079571481845901,8064,0,11,0.6482394018544506,1,51399,fully_paid,0.0,3110.0,3110,104,0.049378403696235494,26185.461345961106,0.3079571481845901,"(39.0, 44.0]","(999.999, 5348.8]","(0.299, 0.363]","(9.0, 11.0]","(100.0, 120.0]","(0.251, 0.312]",-0.2884295497508168,0.014467844952989266,0.08557099131332485,0.06273149934350207,0.25998439166102544,0.15453155966427556,0,1.0,0.0,0.31593706843554764,500.37223466053314
44,27676,4,27957,36,0.3151031366931675,3542,0,10,0.2992853569352219,1,10481,fully_paid,0.0,27957.0,27957,143,1.010153201329672,11240.764015145403,0.3151031366931675,"(39.0, 44.0]","(24186.1, 37934.0]","(0.299, 0.363]","(9.0, 11.0]","(140.0, 160.4]","(0.312, 0.375]",-0.2884295497508168,-0.13445038180117647,0.08557099131332485,0.06273149934350207,-0.09277768540060845,0.15453155966427556,0,1.0,0.0,0.17831058737161043,485.2656606180268
32,67541,4,13168,60,0.3925925638801731,2580,5,5,0.8186913439119891,0,46696,fully_paid,0.0,13168.0,13168,59,0.19496305947498557,6571.698593831406,0.3925925638801731,"(30.0, 35.0]","(12907.0, 14821.5]","(0.363, 0.411]","(4.0, 6.0]","(57.0, 77.0]","(0.375, 0.419]",0.030024181367717683,0.15480278288264576,0.3748646676594474,0.06769290798601699,-0.016711328288050033,0.020636596775795362,0,1.0,0.0,0.4319536683678659,510.3446791313886
