age,annual_income,emp_length,home_ownership,loan_amount,purpose,loan_term,verification_status,revol_util,revol_bal,earliest_credit_line,credit_inquiries_last_6m,open_credit_lines,credit_utilization,delinquency_2yrs,total_current_balance,loan_status,recovered_amount,total_rec_prncp,funded_amnt
60,84868,4 years,RENT,19751,credit_card, 60 months,Verified,0.1440037452748409,5029,2014-08-17 11:00:43.577580,2,13,0.26651651283435385,0,89298,fully_paid,0.0,19751.0,19751
50,91335,3 years,MORTGAGE,15359,credit_card, 36 months,Verified,0.35576155707615364,18584,2021-01-30 11:00:43.577606,4,7,0.21119892864999668,0,81090,fully_paid,0.0,15359.0,15359
36,88973,7 years,MORTGAGE,26188,major_purchase, 60 months,Source Verified,0.2093151398354994,2783,2018-01-22 11:00:43.577612,1,5,0.5538340922284496,0,11296,fully_paid,0.0,26188.0,26188
64,77029,2 years,RENT,9013,debt_consolidation, 60 months,Not Verified,0.4903812395266674,15138,2010-02-13 11:00:43.577616,4,2,0.7927801495244802,1,16009,fully_paid,0.0,9013.0,9013
29,72605,< 1 year,RENT,34711,credit_card, 60 months,Verified,0.36221368566636114,625,2005-11-12 11:00:43.577619,3,6,0.47287173363696827,0,70976,fully_paid,0.0,34711.0,34711
42,68435,6 years,MORTGAGE,1000,other, 36 months,Verified,0.4566956951153017,28279,2009-11-10 11:00:43.577623,5,9,0.5873770649270842,0,67327,charged_off,388.35838030444216,286.1983944334849,1000
60,51150,4 years,OWN,12693,credit_card, 36 months,Not Verified,0.5548359037086454,11887,2012-03-14 11:00:43.577627,4,7,0.6077689125635349,2,76574,charged_off,263.5703301996559,3780.9096110872306,12693
40,62983,6 years,RENT,3110,debt_consolidation, 36 months,Verified,0.3079571481845901,8064,2016-12-03 11:00:43.577632,0,11,0.6482394018544506,1,51399,fully_paid,0.0,3110.0,3110
44,27676,4 years,RENT,27957,credit_card, 36 months,Not Verified,0.31510313669316753,3542,2013-09-12 11:00:43.577637,0,10,0.29928535693522196,1,10481,fully_paid,0.0,27957.0,27957
32,67541,4 years,OWN,13168,debt_consolidation, 60 months,Source Verified,0.39259256388017316,2580,2020-07-23 11:00:43.577641,5,5,0.8186913439119891,0,46696,fully_paid,0.0,13168.0,13168
32,45285,4 years,MORTGAGE,13798,debt_consolidation, 60 months,Source Verified,0.2279007451209074,19364,2017-11-27 11:00:43.577644,0,11,0.4332075749492256,1,72240,fully_paid,0.0,13798.0,13798
45,42410,9 years,MORTGAGE,18102,other, 60 months,Verified,0.39775740236354207,25038,2012-05-11 11:00:43.577648,0,10,0.5562119681722276,0,42404,fully_paid,0.0,18102.0,18102
57,74497,7 years,MORTGAGE,14966,credit_card, 36 months,Verified,0.40831255852671106,24037,2016-10-05 11:00:43.577651,3,9,0.47000502075036793,0,49857,charged_off,2036.0521005647781,7753.490326403512,14966
61,104800,3 years,RENT,10843,major_purchase, 60 months,Verified,0.44578804303290953,28965,2008-12-04 11:00:43.577655,3,4,0.41090447902485017,0,50901,default,3111.1629922023603,7124.374117097872,10843
45,92957,3 years,OWN,6203,other, 60 months,Not Verified,0.48391008838278254,32481,2014-09-09 11:00:43.577658,3,7,0.6879136575389324,0,34339,fully_paid,0.0,6203.0,6203
24,30737,6 years,OWN,16179,credit_card, 60 months,Not Verified,0.07937674881395923,24579,2010-09-04 11:00:43.577662,4,5,0.6270221546602307,0,25582,fully_paid,0.0,16179.0,16179
43,45259,6 years,OWN,17651,debt_consolidation, 36 months,Source Verified,0.14297570028707546,9971,2009-09-20 11:00:43.577665,5,2,0.06276552716869604,1,113251,fully_paid,0.0,17651.0,17651
