Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Other Wards,3071626.0,2712391.0,1890877.0,975708.0,954414.0,589585.0,0.883,0.6970000000000001,0.516,0.978,364609.0,0.382,0.192,120007713.0,10.37,175.04,7190364.0
Shantala Nagar,2401161.0,2384599.0,2067653.0,856568.0,841607.0,474271.0,0.993,0.867,0.414,0.983,367010.0,0.436,0.198,71177412.0,7.48,138.74,3863534.0
Doddakanahalli,1727250.0,1711471.0,1456511.0,596480.0,587089.0,350792.0,0.991,0.851,0.409,0.9840000000000001,236139.0,0.402,0.203,59211778.0,9.02,159.54,3354728.0
Agara,1226026.0,1214797.0,1043176.0,520539.0,508562.0,336728.0,0.991,0.8590000000000001,0.499,0.977,171714.0,0.33799999999999997,0.275,47568017.0,7.63,137.67,2633026.0
Koramangala,1169452.0,1158300.0,994218.0,528008.0,515062.0,334904.0,0.991,0.858,0.531,0.975,180001.0,0.349,0.28600000000000003,44596808.0,6.97,128.74,2437405.0
Adugodi,1191234.0,1182173.0,1005962.0,536543.0,522711.0,313312.0,0.992,0.851,0.5329999999999999,0.9740000000000001,209053.0,0.4,0.263,43890701.0,7.02,131.45,2338615.0
Suddagunte Palya,1320628.0,1308932.0,1126624.0,542706.0,530825.0,296399.0,0.991,0.861,0.48200000000000004,0.978,234284.0,0.441,0.22399999999999998,39411590.0,7.11,129.98,2174999.0
Vasanth Nagar,962005.0,955421.0,795373.0,423856.0,416058.0,262534.0,0.993,0.8320000000000001,0.5329999999999999,0.982,153393.0,0.369,0.273,35920222.0,7.4,132.98,2032705.0
Bellanduru,1365703.0,1354563.0,1176030.0,447575.0,440185.0,257849.0,0.992,0.868,0.381,0.983,182240.0,0.414,0.18899999999999997,44694374.0,9.17,160.63,2550817.0
Hoysala Nagar,703222.0,698197.0,586782.0,331654.0,326166.0,217110.0,0.993,0.84,0.565,0.983,108961.0,0.33399999999999996,0.309,27898914.0,6.37,119.8,1504039.0
Byrasandra,624214.0,618914.0,500722.0,314383.0,308615.0,208058.0,0.992,0.809,0.628,0.982,100479.0,0.326,0.33299999999999996,24700142.0,6.28,113.2,1372034.0
Old Thippasandra,633865.0,628921.0,541589.0,315579.0,310219.0,203512.0,0.992,0.861,0.583,0.983,106602.0,0.344,0.321,27716600.0,7.01,129.86,1493473.0
Marathahalli,1129332.0,1120935.0,942426.0,375796.0,369706.0,202837.0,0.993,0.841,0.39899999999999997,0.9840000000000001,166767.0,0.451,0.18,35748713.0,9.01,160.03,2011710.0
Domlur,703108.0,698041.0,602252.0,313868.0,308639.0,201305.0,0.993,0.863,0.521,0.983,107215.0,0.34700000000000003,0.28600000000000003,28037082.0,7.06,130.78,1507904.0
HRBR Layout,495908.0,493395.0,399052.0,284677.0,280474.0,194414.0,0.995,0.809,0.713,0.985,85982.0,0.307,0.392,24694375.0,6.66,120.75,1365275.0
Sampangiram Nagar,918287.0,911485.0,763612.0,361001.0,355542.0,188850.0,0.993,0.838,0.473,0.985,166584.0,0.469,0.20600000000000002,28029607.0,7.69,137.83,1592800.0
Madivala,751268.0,742961.0,621190.0,322177.0,315216.0,187691.0,0.9890000000000001,0.836,0.519,0.978,127466.0,0.40399999999999997,0.25,23498153.0,6.69,123.51,1283390.0
Gandhinagar,583453.0,577642.0,409590.0,298294.0,292759.0,183335.0,0.99,0.7090000000000001,0.728,0.981,109334.0,0.374,0.314,27800422.0,8.46,153.09,1574607.0
Aramane Nagara,546489.0,542221.0,416957.0,285980.0,279386.0,180884.0,0.992,0.769,0.6859999999999999,0.977,98438.0,0.35200000000000004,0.331,24979189.0,7.22,128.38,1425382.0
Jakkuru,629076.0,624824.0,485812.0,297748.0,291553.0,179670.0,0.993,0.778,0.613,0.9790000000000001,111831.0,0.384,0.28600000000000003,29913410.0,8.89,154.35,1743306.0
